Trimestre	NERVI	TRADATE	SCIACCA	VERUNO	BARI	MONTESCANO	PAVIA	TORINO
I TRIMESTRE 2020	4	0	8	0	0	0	0	0
II TRIMESTRE 2020	32	1	11	4	0	0	0	0
III TRIMESTRE 2020	32	5	9	1	0	0	0	0
IV TRIMESTRE 2020	21	3	12	0	0	0	0	0
I TRIMESTRE 2021	24	6	2	0	2	0	0	0
II TRIMESTRE 2021	20	11	0	0	2	0	0	0
III TRIMESTRE 2021	24	10	0	23	2	3	0	0
IV TRIMESTRE 2021	19	13	0	14	8	1	0	0
I TRIMESTRE 2022	12	5	0	0	7	12	3	4
II TRIMESTRE 2022	12	9	0	0	8	7	6	7
III TRIMESTRE 2022	11	10	0	0	15	1	3	2
IV TRIMESTRE 2022	9	14	0	0	18	9	10	7
I TRIMESTRE 2023	10	16	10	0	24	10	12	4
II TRIMESTRE 2023	11	18	0	0	17	8	0	4
III TRIMESTRE 2023	6	12	0	0	7	8	6	6
IV TRIMESTRE 2023	9	12	0	0	6	0	1	11
I TRIMESTRE 2024	8	6	0	0	31	2	6	9
II TRIMESTRE 2024	10	7	13	0	20	4	0	9
III TRIMESTRE 2024	10	9	0	0	20	0	1	7
IV TRIMESTRE 2024	6	12	0	0	24	0	0	10
I TRIMESTRE 2025	4	12	0	0	12	0	0	10
II TRIMESTRE 2025	10	10	0	0	15	4	0	5
III TRIMESTRE 2025	18	9	0	0	18	3	3	3
IV TRIMESTRE 2025	11	5	5	0	10	5	0	4
